龙湖时代天街 , | 2室1厅 | 76.23平米 | 东 | 精装 | 有电梯,大坪,168万
协信星澜汇二期 , | 3室2厅 | 83.16平米 | 东 西 | 精装 | 有电梯,龙洲湾,90万
恒大山水城 , | 3室2厅 | 88.63平米 | 东北 | 精装 | 有电梯,照母山,136万
康德国会山 , | 2室1厅 | 69.72平米 | 东南 | 精装 | 有电梯,南坪,100万
金科东方雅郡 , | 3室2厅 | 122.5平米 | 东南 | 精装 | 有电梯,人和,192万
融创欧麓花园城铂爵郡 , | 3室2厅 | 95.9平米 | 南 | 毛坯 | 有电梯,茶园新区,110万
富力海洋 , | 2室2厅 | 76平米 | 北 | 精装 | 有电梯,观音桥,130万
富力城时光里 , | 3室2厅 | 106.18平米 | 南 | 精装 | 有电梯,大学城,115万
山顶道8号 , | 4室2厅 | 233.64平米 | 南 | 简装 | 有电梯,嘉州,430万
新城丽园 , | 2室1厅 | 92.48平米 | 东南 | 简装 | 有电梯,黄泥磅,123万
保利观澜 , | 3室2厅 | 71.85平米 | 西南 | 简装 | 有电梯,海尔路,155万
公园大道菁澜一组团 , | 5室2厅 | 171平米 | 东南 | 毛坯 | 有电梯,中央公园,248万
万科金域学府 , | 3室2厅 | 71平米 | 东南 | 精装 | 有电梯,七公里,110万
香洲心城 , | 2室1厅 | 70.17平米 | 东南 | 精装 | 有电梯,城南新区,68万
美堤雅城B区 , | 3室2厅 | 127平米 | 东南 | 精装 | 有电梯,六公里,148万
龙湖悠山香庭 , | 3室2厅 | 129.91平米 | 西南 | 精装,礼嘉,185万
中交丽景 , | 3室2厅 | 94平米 | 南 | 精装 | 有电梯,巴国城,125万
骏逸新视界 , | 2室2厅 | 75.45平米 | 南 | 简装 | 有电梯,石坪桥,90万
光宇阳光地中海 , | 2室2厅 | 64平米 | 东 | 精装 | 有电梯,冉家坝,99万
天盈首原 , | 3室2厅 | 107.2平米 | 南 | 毛坯 | 有电梯,丹龙路,185万
协信阿卡迪亚 , | 2室2厅 | 68平米 | 南 | 精装 | 有电梯,大坪,110万
明月香山 , | 3室2厅 | 81平米 | 东 | 精装 | 有电梯,老城区,70万
约克郡汀兰 , | 3室2厅 | 94.68平米 | 东北 | 精装 | 有电梯,照母山,168万
万达华城一期 , | 2室1厅 | 63平米 | 西 | 精装 | 有电梯,龙洲湾,84万
和记黄埔玥湖园 , | 5室2厅 | 198.37平米 | 东南 | 毛坯 | 有电梯,照母山,225万
鲁能星城圆上 , | 4室2厅 | 119.98平米 | 东 | 精装 | 有电梯,龙头寺,210万
康桥融府 , | 3室2厅 | 96平米 | 西北 | 毛坯 | 有电梯,照母山,145万
聚信广场 , | 2室2厅 | 86.38平米 | 南 | 简装 | 有电梯,花卉园,113万
康桥融府 , | 4室2厅 | 104平米 | 南 | 毛坯 | 有电梯,照母山,157万
旭辉城橙郡 , | 2室1厅 | 44.74平米 | 东 | 精装 | 有电梯,龙洲湾,65万
万友七季城C区 , | 3室2厅 | 87平米 | 南 | 精装 | 有电梯,六公里,120万
金科中央御院三期 , | 2室2厅 | 63.63平米 | 东南 | 毛坯 | 有电梯,茶园新区,76万
约克郡北区 , | 4室1厅 | 147.85平米 | 东南 | 精装 | 有电梯,照母山,350万
万科金色悦城一期 , | 2室2厅 | 77平米 | 东 | 精装 | 有电梯,凤天路,109万
金科廊桥水乡四组团 , | 2室2厅 | 74.9平米 | 北 东北 | 精装 | 有电梯,大学城,76万
约克郡悦水岸 , | 4室2厅 | 142.7平米 | 南 北 | 毛坯,照母山,259万
金科廊桥水乡E区 , | 2室1厅 | 67.11平米 | 西南 | 简装 | 有电梯,大学城,70万
康桥融府 , | 4室2厅 | 103平米 | 东 | 毛坯 | 有电梯,照母山,160万
万科西城二期 , | 2室1厅 | 56.51平米 | 东南 | 精装 | 有电梯,蟠龙,92万
波尔多 , | 1室1厅 | 51.19平米 | 东南 | 简装 | 有电梯,松树桥,54万
万科城三期 , | 4室2厅 | 134.6平米 | 西南 | 精装 | 有电梯,照母山,208万
保利香槟花园D区 , | 2室2厅 | 78平米 | 南 | 简装 | 有电梯,龙头寺,130万
旭庆江湾国际花都 , | 2室2厅 | 86.96平米 | 西南 | 精装 | 有电梯,大坪,110万
蓝光林肯公园 , | 3室2厅 | 111.2平米 | 西北 | 毛坯 | 有电梯,八公里,128万
泽科港城国际二期 , | 2室2厅 | 74平米 | 北 | 精装,空港新城,100万
东方明珠 , | 2室1厅 | 85.53平米 | 西北 北 | 精装 | 有电梯,大石坝,110万
晋愉天意 , | 3室2厅 | 89平米 | 南 | 精装 | 有电梯,双山,116万
龙凤云洲 , | 2室2厅 | 83.82平米 | 东南 | 精装 | 有电梯,杨公桥,108万
雍山郡 , | 3室2厅 | 119平米 | 南 | 毛坯 | 有电梯,琅山片区,79.8万
国博领馆一期 , | 3室2厅 | 92.94平米 | 东南 | 毛坯 | 有电梯,悦来,110万
龙湖江与城薇澜岸 , | 4室2厅 | 138.75平米 | 北 | 毛坯 | 有电梯,大竹林,308万
庆业九寨印象 , | 3室2厅 | 126.24平米 | 西 | 毛坯 | 有电梯,龙头寺,170万
城市经典 , | 2室1厅 | 66.93平米 | 南 | 简装 | 有电梯,观音桥,98万
富力城春天里B区 , | 3室2厅 | 109.2平米 | 南 | 简装 | 有电梯,大学城,108万
公园置尚云尚 , | 2室1厅 | 56.52平米 | 南 | 精装 | 有电梯,龙头寺,110万
国富沙磁巷 , | 3室2厅 | 94.9平米 | 南 | 毛坯 | 有电梯,磁器口,135万
同心家园B组团 , | 3室2厅 | 73.93平米 | 东南 | 精装 | 有电梯,石桥铺,85万
富力城瀚湖A区 , | 2室2厅 | 82平米 | 北 | 简装 | 有电梯,大学城,82万
吉安园龙头寺小区 , | 3室1厅 | 126.6平米 | 南 | 精装 | 有电梯,龙头寺,168万
万友七季城C区 , | 2室2厅 | 72平米 | 东 | 简装 | 有电梯,六公里,99万
渝安龙都 , | 1室1厅 | 55.85平米 | 北 | 简装 | 有电梯,冉家坝,75万
东原九城时光 , | 2室1厅 | 57.19平米 | 西北 | 简装 | 有电梯,杨家坪,93万
保利香雪 , | 3室2厅 | 95.47平米 | 东 | 精装 | 有电梯,南桥寺,158万
恋恋上层 , | 2室2厅 | 76.99平米 | 西南 西 | 精装 | 有电梯,大石坝,109万
盾安九龙都 , | 2室1厅 | 84.44平米 | 南 | 简装,杨家坪,116万
首创鸿恩国际生活区三期 , | 3室2厅 | 105.12平米 | 南 | 精装 | 有电梯,大石坝,165万
武夷滨江 , | 3室2厅 | 121平米 | 南 | 毛坯 | 有电梯,南滨路,238万
首创光和城 , | 3室2厅 | 93平米 | 北 | 精装 | 有电梯,西永,118万
首创城 , | 2室2厅 | 65平米 | 东北 | 精装,烈士墓,95万
骏逸第一江岸 , | 4室2厅 | 141.18平米 | 东 | 毛坯 | 有电梯,丹龙路,185万
恒大雅苑 , | 4室2厅 | 151平米 | 西北 | 精装 | 有电梯,华岩,148万
兰湖天 , | 2室2厅 | 86.7平米 | 南 | 简装 | 有电梯,四公里,120万
华润中央公园 , | 3室2厅 | 110平米 | 北 | 精装 | 有电梯,大石坝,180万
龙湖江与城薇澜岸 , | 3室1厅 | 93平米 | 东南 | 精装 | 有电梯,大竹林,168万
